Band Number,Disposition,Species,Age,Sex,Month,Day,Year,Bird Status,Bander ID,Location,How Captured,Wing Chord,Bird Weight,Tarsus Length,Culmen Length,Bill Width,Bill Height,Transmitter Affixed,Cloacal Swab,Blood Sample Taken,AI Sample #,Mercury Sample ID,Capture Time,Transmitter ID,Aux Marker Type,Season
219785440,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,405,1990,67.4,46.12,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785441,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,421,2170,72.31,50.82,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785442,1,GWFG,HY,F,9,28,2019,300,AM,SACNWR,Rocket Net,485,1854,71.36,49.8,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785443,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,412,2310,70.74,51.51,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785444,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,420,2149,74.46,48.03,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785445,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,390,2006,70.45,45.93,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785446,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,430,2250,74.81,51.14,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785447,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,423,2204,77.8,51.82,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785448,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,406,1822,69.44,49,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785449,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,417,2150,73.55,50.34,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785450,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,439,2076,75.78,45.86,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785451,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,404,1944,74.27,51.5,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785452,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,413,1940,66.38,48.03,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785453,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,406,2236,70.91,50.33,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785454,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,426,2118,72.53,50.25,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785455,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,412,1860,69.64,48.69,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785456,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,404,1934,70.27,48.08,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785457,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,405,1998,72.4,51.84,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785458,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,439,2264,78.95,49.14,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785459,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,400,1712,68.4,51.03,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785460,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,416,2206,76.62,53.84,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785461,1,GWFG,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,418,2106,76.79,49.96,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785462,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,395,1754,65.36,43.28,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785463,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,442,2032,73.43,49.5,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219785464,1,GWFG,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,378,1804,67.14,46.21,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219787651,1,GWFG,AHY,M,9,22,2019,300,AM,DELNWR,Rocket Net,431,2308,78.94,50.59,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219787652,1,GWFG,AHY,F,9,22,2019,300,AM,DELNWR,Rocket Net,403,2074,67.62,48.48,NA,NA,N,N,N,NA,NA,14:00,,,Pre
219787653,1,GWFG,AHY,F,9,22,2019,300,AM,DELNWR,Rocket Net,399,2020,72.99,50.62,NA,NA,N,N,N,NA,NA,14:00,,,Pre
114893364,1,TWFG,AHY,F,9,14,2019,380,AM,SLWA,Rocket Net,450,2500,77.95,53.2,26.9,21.1,Y,N,N,NA,NA,15:38,192587,80F,Pre
114893369,1,TWFG,AHY,F,9,14,2019,380,AM,SLWA,Rocket Net,441,2600,81.12,59.1,26.3,25,Y,N,N,NA,NA,15:38,192588,80F,Pre
114893372,1,TWFG,AHY,M,9,14,2019,380,AM,SLWA,Rocket Net,452,2450,82.57,54.7,24.4,28.9,Y,N,N,NA,NA,15:38,171610,80F,Pre
114893391,1,TWFG,AHY,F,9,17,2019,380,AM,SLWA,Rocket Net,433,2400,82.31,57.2,26.3,27.2,Y,N,N,NA,NA,14:50,192589,80F,Pre
114893384,1,TWFG,AHY,M,9,17,2019,380,AM,SLWA,Rocket Net,464,2550,84.95,59.5,26.8,25.1,Y,N,N,NA,NA,14:50,171613,80F,Pre
